"Folder","SizeGB"
"C:\Users\PCCPPPCCC\AppData\Local\r-miniconda\Lib\site-packages\installer\_scripts\__pycache__","0"
"C:\Users\PCCPPPCCC\AppData\Local\r-miniconda\Lib\site-packages\libmambapy\solver\__pycache__","0"
"C:\Users\PCCPPPCCC\AppData\Local\r-miniconda\Lib\site-packages\menuinst\cli\__pycache__","0"
"C:\Users\PCCPPPCCC\AppData\Local\r-miniconda\Lib\site-packages\menuinst\platforms\__pycache__","0"
"C:\Users\PCCPPPCCC\AppData\Local\r-miniconda\Lib\site-packages\menuinst\platforms\win_utils\__pycache__","0"
"C:\Users\PCCPPPCCC\AppData\Local\r-miniconda\Lib\site-packages\markupsafe\__pycache__","0"
"C:\Users\PCCPPPCCC\AppData\Local\r-miniconda\Lib\site-packages\menuinst\__pycache__","0"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\Microsoft.WindowsAlarms_8wekyb3d8bbwe\TempState","0"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\Microsoft.WindowsAppRuntime.1.5_8wekyb3d8bbwe\AC\INetCache","0"
"C:\Users\PCCPPPCCC\AppData\Local\r-miniconda\Lib\site-packages\httpcore\_sync\__pycache__","0"
"C:\Users\PCCPPPCCC\AppData\Local\r-miniconda\Lib\site-packages\httpx\__pycache__","0"
"C:\Users\PCCPPPCCC\AppData\Local\r-miniconda\Lib\site-packages\httpcore\_async\__pycache__","0"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\Microsoft.WindowsAppRuntime.1.5_8wekyb3d8bbwe\AC\Temp","0"
